,index,desc
17,17,"Harry Potter and the Prisoner of AzkabanJ.K. Rowling, Mary GrandPré, Rufus Beck"
18,18,"In anticipation of the new film The Hobbit, opening in December 2012, comes
a reissue of the first book in The Lord of the Rings series. Reissue.
200,000 first printing."
19,19,"Two-time Hunger Games survivor Katniss Everdeen is targeted by a vengeful
Capitol that vows to make Katniss and all of District 12 pay for the
current unrest."
20,20,"When the government of the magic world and authorities at Hogwarts School
of Witchcraft and Wizardry refuse to believe in the growing threat of a
freshly revived Lord Voldemort, fifteen-year-old Harry Potter finds support
from his loyal friends in facingthe evil wizard and other new terrors."
21,21,"The spirit of fourteen-year-old Susie Salmon describes her murder, her
surprise at her new home in heaven, and her witness to her family's grief,
efforts to find the killer, and attempts to come to terms with what has
happened. A first novel. Reader's Guide included. Reprint. 750,000 first
printing."
22,22,"Harry Potter and the Chamber of SecretsJ.K. Rowling, Mary GrandPré"
23,23,"In Harry Potter and the Goblet of Fire, Harry is midway through both his
training as a wizard and his coming of age. He wants to get away from the
malicious Dursleys and go to the Quidditch World Cup with Hermione, Ron,
and the Weasleys. He wants to dream about his crush, Cho Chang (and maybe
do more than dream). And now that he’s gotten the hang of things at
Hogwarts—he hopes—he just wants to be a normal fourteen-year-old wizard.
But even by his standards, Harry's year is anything but normal. First
Dumbledore announces the revival of a grand competition that hasn't taken
place for one hundred years: the Triwizard Tournament, where a Hogwarts
champion will compete against rivals from two other schools of magic in
three highly dangerous tasks. Then someone frames Harry to participate in
the tournament—which really means someone wants him dead. Harry is guided
through the competition by Professor Alastor Moody, this year's Defense
Against the Dark Arts teacher, but he must also contend with a nasty
reporter named Rita Skeeter, who digs up some highly unflattering secrets
about Hagrid; a terrible fight with Ron, who is deeply jealous of Harry's
fame; Hermione's newfound activism on behalf of house-elves; and the
terrifying prospect of asking a date to the Yule Ball. Worst of all, Lord
Voldemort may finally have gathered the materials necessary for his
rejuvenation... and he has a faithful servant at Hogwarts waiting only for
a sign. No, nothing is ever normal for Harry Potter. And in his case,
different can be deadly."
24,24,"In Harry Potter and the Deathly Hallows, the seventh and final book in the
epic tale of Harry Potter, Harry and Lord Voldemort each prepare for their
ultimate encounter. Voldemort takes control of the Ministry of Magic,
installs Severus Snape as headmaster at Hogwarts, and sends his Death
Eaters across the country to wreak havoc and find Harry. Meanwhile, Harry,
Ron, and Hermione embark on a desperate quest the length and breadth of
Britain, trying to locate and destroy Voldemort’s four remaining Horcruxes,
the magical objects in which he has hidden parts of his broken soul. They
visit the Burrow, Grimmauld Place, the Ministry, Godric’s Hollow, Malfoy
Manor, Diagon Alley…But every time they solve one mystery, three more
evolve—and not just about Voldemort, but about Dumbledore, and Harry’s own
past, and three mysterious objects called the Deathly Hallows. The Hallows
are literally things out of a children’s tale, which, if real, promise to
make their possessor the “Master of Death;” and they ensnare Harry with
their tantalizing claim of invulnerability. It is only after a nigh-
unbearable loss that he is brought back to his true purpose, and the trio
returns to Hogwarts for the final breathtaking battle between the forces of
good and evil. They fight the Death Eaters alongside members of the Order
of the Phoenix, Dumbledore’s Army, the Weasley clan, and the full array of
Hogwarts teachers and students. Yet everything turns upon the moment the
entire series has been building up to, the same meeting with which our
story began: the moment when Harry and Voldemort face each other at last."
25,25,"Harvard symbologist Robert Langdon and French cryptologist Sophie Neveu
work to solve the murder of an elderly curator of the Louvre, a case which
leads to clues hidden in the works of Da Vinci and a centuries-old secret
society."
26,26,"As Harry enters his sixth year at Hogwarts, a storm is brewing in the
battle between good and evil, a battle that promises to have incredible
consequences for the magic world."
27,27,"The classic study of human nature which depicts the degeneration of a group
of schoolboys marooned on a desert island."
28,28,"An Excellent conceited Tragedie of Romeo and JulietWilliam Shakespeare, Robert           Jackson"
29,29,"When a woman goes missing on her fifth wedding anniversary, her diary
reveals hidden turmoil in her marriage, while her husband, desperate to
clear himself of suspicion, realizes that something more disturbing than
murder may have occurred."
30,30,"Limited and persecuted by racial divides in 1962 Jackson, Mississippi,
three women, including an African-American maid, her sassy and chronically
unemployed friend and a recently graduated white woman, team up for a
clandestine project against a backdrop of the budding civil rights era.
Reprint. A #1 best-selling novel. 2 million first printing."
31,31,"The tragic story of the friendship between two migrant workers, George and
mentally retarded Lenny, and their dream of owning a farm"
32,32,"National best seller, Japan's most celebrated geisha, confessions novel."
33,33,"When Anastasia Steele, a young literature student, interviews wealthy young
entrepreneur Christian Grey for her campus magazine, their initial meeting
introduces Anastasia to an exciting new world that will change them both
forever."
34,34,"""My heart is afraid that it will have to suffer,"" the boy told the
alchemist one night as they looked up at the moonless sky."" Tell your heart
that the fear of suffering is worse than the suffering itself. And that no
heart has ever suffered when it goes in search of its dreams."" Every few
decades a book is published that changes the lives of its readers forever.
The Alchemist is such a book. With over a million and a half copies sold
around the world, The Alchemist has already established itself as a modern
classic, universally admired. Paulo Coelho's charming fable, now available
in English for the first time, will enchant and inspire an even wider
audience of readers for generations to come. The Alchemist is the magical
story of Santiago, an Andalusian shepherd boy who yearns to travel in
search of a worldly treasure as extravagant as any ever found. From his
home in Spain he journeys to the markets of Tangiers and across the
Egyptian desert to a fateful encounter with the alchemist. The story of the
treasures Santiago finds along the way teaches us, as only a few stories
have done, about the essential wisdom of listening to our hearts, learning
to read the omens strewn along life's path, and, above all, following our
dreams."
35,35,"Given his lifetime assignment at the Ceremony of Twelve, Jonas becomes the
receiver of memories shared by only one other in his community and
discovers the terrible truth about the society in which he lives."
36,36,They open a door and enter a world.
37,37,"Passionately in love, Clare and Henry vow to hold onto each other and their
marriage as they struggle with the effects of Chrono-Displacement Disorder,
a condition that casts Henry involuntarily into the world of time travel."
38,38,"The kingdom of the royal Stark family faces its ultimate challenge in the
onset of a generation-long winter, the poisonous plots of the rival
Lannisters, the emergence of the Neverborn demons and the arrival of
barbarian hordes. Reissue. TV tie-in."
39,39,"Eat, pray, love: one woman's search for everything across Italy, India and IndonesiaElizabeth Gilbert"
40,40,The Lightning ThiefRick Riordan
41,41,Little WomenLouisa May Alcott
42,42,"Retells the classic story of an orphaned young woman who accepts employment
as a governess and soon finds herself in love with her employer."
43,43,The NotebookNicholas Sparks
44,44,"Possessing encyclopedia-like intelligence, unusual zookeeper's son Pi Patel
sets sail for America, but when the ship sinks, he escapes on a life boat
and is lost at sea with a dwindling number of animals until only he and a
hungry Bengal tiger remain."
45,45,Water for ElephantsSara Gruen
46,46,"Trying to make sense of the horrors of World War II, Death relates the
story of Liesel--a young German girl whose book-stealing and story-telling
talents help sustain her family and the Jewish man they are hiding, as well
as their neighbors."
47,47,"A totalitarian regime has ordered all books to be destroyed, but one of the
book burners, Guy Montag, suddenly realizes their merit."
48,48,"New Moon (Twilight, #2)Stephenie Meyer"
49,49,"If you are a dreamer, come in, If you are a dreamer, A wisher, a liar, A
hope-er, a pray-er, A magic bean buyer … Come in … for where the sidewalk
ends, Shel Silverstein’s world begins. You’ll meet a boy who turns into a
TV set, and a girl who eats a whale. The Unicorn and the Bloath live there,
and so does Sarah Cynthia Sylvia Stout who will not take the garbage out.
It is a place where you wash your shadow and plant diamond gardens, a place
where shoes fly, sisters are auctioned off, and crocodiles go to the
dentist. Shel Silverstein’s masterful collection of poems and drawings is
at once outrageously funny and profound."
50,50,"Suddenly able to see demons and the Shadowhunters who are dedicated to
returning them to their own dimension, fifteen-year-old Clary Fray is drawn
into this bizarre world when her mother disappears and Clary herself is
almost killed by a monster."
51,51,"Readers captivated by Twilight and New Moon will eagerly devour the
paperback edition Eclipse, the third book in Stephenie Meyer's riveting
vampire love saga. As Seattle is ravaged by a string of mysterious killings
and a malicious vampire continues her quest for revenge, Bella once again
finds herself surrounded by danger. In the midst of it all, she is forced
to choose between her love for Edward and her friendship with Jacob ---
knowing that her decision has the potential to ignite the ageless struggle
between vampire and werewolf. With her graduation quickly approaching,
Bella has one more decision to make: life or death. But which is which?"
52,52,"In Alagaèesia, a fifteen-year-old boy of unknown lineage called Eragon
finds a mysterious stone that weaves his life into an intricate tapestry of
destiny, magic, and power, peopled with dragons, elves, and monsters."
53,53,"Chronicles the journeys, notions, and acquaintances of reluctant galactic
traveler Arthur Dent, accompanied by never-before-published material from
the late author's archives as well as commentary by famous fans."
54,54,"Huxley's classic prophetic novel describes the socialized horrors of a
futuristic utopia devoid of individual freedom."
55,55,"In an addition to the author's vampire love saga, following New Moon and
Eclipse, questions are answered about the fate of Bella and Edward.
Reissue."
56,56,"After her ""stand-in mother,"" a bold black woman named Rosaleen, insults the
three biggest racists in town, Lily Owens joins Rosaleen on a journey to
Tiburon, South Carolina, where they are taken in by three black, bee-
keeping sisters."
57,57,"A feisty young boy fakes his own death to escape his abusive father and
heads off down the Mississippi River with his newfound friend Jim, a
runaway slave."
58,58,"Beloved by generations, Charlotte's Web and Stuart Little are two of the
most cherished stories of all time. Now, for the first time ever, these
treasured classics are available in lavish new collectors' editions. In
addition to a larger trim size, the original black-and-white art by Garth
Williams has been lovingly colorized by renowned illustrator Rosemary
Wells, adding another dimension to these two perfect books for young and
old alike."
59,59,The Curious Incident of the Dog in the Night-TimeMark Haddon
60,60,The Girl on the TrainPaula Hawkins
61,61,"Accompanied by her daemon, Lyra Belacqua sets out to prevent her best
friend and other kidnapped children from becoming the subject of gruesome
experiments in the Far North."
62,62,"Wuthering HeightsEmily Brontë, Richard J. Dunn"
63,63,"Written with grace, wisdom, and sensitivity, this novel is about a teen who
was conceived as a bone marrow match for her sister Kate, and what happens
when she begins to question who she really is."
64,64,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death Kurt Vonnegut Jr."
65,65,"The turbulent romance of Scarlett O'Hara and Rhett Butler is shaped by the
ravages of the Civil War and Reconstruction."
66,66,A Thousand Splendid SunsKhaled Hosseini
67,67,"A series of letters to an unknown correspondent reveals the coming-of-age
trials of a high-schooler named Charlie"
68,68,"As war surges in the dystopian society around her, sixteen-year-old
Divergent Tris Prior must continue trying to save those she loves--and
herself--while grappling with haunting questions of grief and forgiveness,
identity and loyalty, politics, and love."
69,69,"From New York Times bestselling author Orson Scott Card, Ender's Game is
the classic Hugo and Nebula award-winning science fiction novel of a young
boy's recruitment into the midst of an interstellar war. In order to
develop a secure defense against a hostile alien race's next attack,
government agencies breed child geniuses and train them as soldiers. A
brilliant young boy, Andrew ""Ender"" Wiggin lives with his kind but distant
parents, his sadistic brother Peter, and the person he loves more than
anyone else, his sister Valentine. Peter and Valentine were candidates for
the soldier-training program but didn't make the cut—young Ender is the
Wiggin drafted to the orbiting Battle School for rigorous military
training. Ender's skills make him a leader in school and respected in the
Battle Room, where children play at mock battles in zero gravity. Yet
growing up in an artificial community of young soldiers Ender suffers
greatly from isolation, rivalry from his peers, pressure from the adult
teachers, and an unsettling fear of the alien invaders. His psychological
battles include loneliness, fear that he is becoming like the cruel brother
he remembers, and fanning the flames of devotion to his beloved sister. Is
Ender the general Earth needs? But Ender is not the only result of the
genetic experiments. The war with the Buggers has been raging for a hundred
years, and the quest for the perfect general has been underway for almost
as long. Ender's two older siblings are every bit as unusual as he is, but
in very different ways. Between the three of them lie the abilities to
remake a world. If, that is, the world survives. Orson Scott Card's Ender's
Game is the winner of the 1985 Nebula Award for Best Novel and the 1986
Hugo Award for Best Novel. THE ENDER UNIVERSE Ender Quintet series Ender’s
Game / Ender in Exile / Speaker for the Dead / Xenocide / Children of the
Mind Ender’s Shadow series Ender’s Shadow / Shadow of the Hegemon / Shadow
Puppets / Shadow of the Giant / Shadows in Flight Children of the Fleet The
First Formic War (with Aaron Johnston) Earth Unaware / Earth Afire / Earth
Awakens The Second Formic War (with Aaron Johnston) The Swarm /The Hive
Ender novellas A War of Gifts /First Meetings"
70,70,Edited by Maurice Hindle.
71,71,"Jack Torrance sees his stint as winter caretaker of a Colorado hotel as a
way back from failure, his wife sees it as a chance to preserve their
family, and their five-year-old son sees the evil waiting just for them."
72,72,"A member of a species that takes over the minds of human bodies, Wanderer
is unable to disregard his host's love for a man in hiding, a situation
that forces both possessor and host to become unwilling allies. A first
adult novel by the author of Eclipse."
73,73,"Sixteen-year-old Miles' first year at Culver Creek Preparatory School in
Alabama includes good friends and great pranks, but is defined by the
search for answers about life and death after a fatal car crash. An ALA
Best Book for Young Adults & ALA Quick Pick. Reprint."
74,74,"Sisters Elinor and Marianne Dashwood set their sights on men to perfectly
match their disparate personalities, with unexpected results."
75,75,"HolesLouis Sachar, Louis Sachar"
76,76,"A small-town girl fresh out of an Ivy League college lands a job at a
prestigious fashion magazine, but wonders if the glamorous perks are worth
working for the editor from hell."
77,77,"A new translation of the epic poem retells the story of Odysseus's ten-year
voyage home to Ithaca after the Trojan War."
78,78,"An aviator whose plane is forced down in the Sahara Desert encounters a
little prince from a small planet who relates his adventures in seeking the
secret of what is important in life. Howard's new translation of this
beloved classic beautifully reflects Saint-Exupery's unique, gifted style.
Color and b&w illustrations."
79,79,"Now a major motion picture from Lionsgate starring Brie Larson, Woody
Harrelson, and Naomi Watts. MORE THAN SEVEN YEARS ON THE NEW YORK TIMES
BESTSELLER LIST The perennially bestselling, extraordinary, one-of-a-kind,
“nothing short of spectacular” (Entertainment Weekly) memoir from one of
the world’s most gifted storytellers. The Glass Castle is a remarkable
memoir of resilience and redemption, and a revelatory look into a family at
once deeply dysfunctional and uniquely vibrant. When sober, Jeannette’s
brilliant and charismatic father captured his children’s imagination,
teaching them physics, geology, and how to embrace life fearlessly. But
when he drank, he was dishonest and destructive. Her mother was a free
spirit who abhorred the idea of domesticity and didn’t want the
responsibility of raising a family. The Walls children learned to take care
of themselves. They fed, clothed, and protected one another, and eventually
found their way to New York. Their parents followed them, choosing to be
homeless even as their children prospered. The Glass Castle is truly
astonishing—a memoir permeated by the intense love of a peculiar but loyal
family."
80,80,"In April 1992, a young man from a well-to-do family hitchhikes to Alaska
and walks alone into the wilderness north of Mt. McKinley. Four months
later, his decomposed body is found by a moose hunter. How Chris McCandless
came to die is the unforgettable story of Into the Wild."
81,81,Edited with an Introduction and Notes by Richard Maxwell.
82,82,"An American bioengineering research firm erects a theme park on a Caribbean
island, complete with living dinosaurs, and invites a group of scientists
to be its first terrified guests."
83,83,"""Once there was a tree ... and she loved a little boy."" So begins a story
of unforgettable perception, beautifully written and illustrated by the
gifted and versatile Shel Silverstein. Every day the boy would come to the
tree to eat her apples, swing from her branches, or slide down her trunk
... and the tree was happy. But as the boy grew older he began to want more
from the tree, and the tree gave and gave and gave. This is a tender story,
touched with sadness, aglow with consolation. Shel Silverstein has created
a moving parable for readers of all ages that offers an affecting
interpretation of the gift of giving and a serene acceptance of another's
capacity to love in return. This miniature full-cloth, gold-stamped edition
will be treasured by all ages."
84,84,"A Southern town is shocked when a 10-year-old black girl is raped by two
white men--until the girl's father takes the law into his own hands."
85,85,"The narrative of a boy who lived through Auschwitz and Buchenwald provides
a short and terrible indictment of modern humanity."
86,86,"One month before graduating from his Central Florida high school, Quentin
""Q"" Jacobsen basks in the predictable boringness of his life until the
beautiful and exciting Margo Roth Spiegelman, Q's neighbor and classmate,
takes him on a midnight adventure and then mysteriously disappears. An ALA
Best Book for Young Adults. Reprint."
87,87,"A classic swashbuckling romance retells the tale of a drunken swordsman and
a gentle giant who come to the aid of Westley, a handsome farm boy, and
Buttercup, a princess in dire need of rescue from the evil schemers
surrounding her. Reader's Guide available. Simultaneous."
88,88,"The struggle of three brothers to stay together after their parent's death
and their quest for identity among the conflicting values of their
adolescent society."
89,89,"Sixteen-year-old Thomas wakes up with no memory in the middle of a maze and
realizes he must work with the community in which he finds himself if he is
to escape."
90,90,"Which is more dangerous, a gun or a swimming pool? What do schoolteachers
and sumo wrestlers have in common? How much do parents really matter? These
may not sound like typical questions for an economist to ask. But Steven D.
Levitt is not a typical economist. He studies the riddles of everyday
life—from cheating and crime to parenting and sports—and reaches
conclusions that turn conventional wisdom on its head. Freakonomics is a
groundbreaking collaboration between Levitt and Stephen J. Dubner, an
award-winning author and journalist. They set out to explore the inner
workings of a crack gang, the truth about real estate agents, the secrets
of the Ku Klux Klan, and much more. Through forceful storytelling and wry
insight, they show that economics is, at root, the study of incentives—how
people get what they want or need, especially when other people want or
need the same thing."
91,91,"A ten-year-old orphan comes to live in a lonely house on the Yorkshire
moors where she discovers an invalid cousin and the mysteries of a locked
garden."
92,92,"Cien años de soledadGabriel García Márquez, Gregory Rabassa"
93,93,"The handsome appearance of dissolute young Dorian Gray remains unchanged
while the features in his portrait become distorted as his degeneration
progresses"
94,94,"Even though Christian and Anastasia are now a proper couple, they still
have many obstacles to overcome, including Christian's past coming back to
haunt Anastasia."
95,95,"This Norton Critical Edition presents fully annotated the text of the 1897
First Edition."
96,96,"Flickan som lekte med eldenStieg Larsson, Reg Keeland"
97,97,"Fifty Shades Darker is a 2012 erotic romance novel by British author E. L.
James. It is the second installment in the Fifty Shades trilogy that traces
the deepening relationship between a college graduate, Anastasia Steele,
and a young business magnate, Christian Grey. The first and third volumes,
Fifty Shades of Grey and Fifty Shades Freed, were published in 2011 and
2012. The novel is published by Vintage Books and reached #1 on the USA
Today best seller list."
98,98,"The Poisonwood Bible is a story told by the wife and four daughters of
Nathan Price, a fierce, evangelical Baptist who takes his family and
mission to the Belgian Congo in 1959. They carry with them everything they
believe they will need from home, but soon find that all of it -- from
garden seeds to Scripture -- is calamitously transformed on African soil.
What follows is a suspenseful epic of one family's tragic undoing and
remarkable reconstruction over the course of three decades in postcolonial
Africa. This P.S. edition features an extra 16 pages of insights into the
book, including author interviews, recommended reading, and more."
99,99,"A recent transplant to Paris, humorist David Sedaris, bestselling author of
""Naked"", presents a collection of his strongest work yet, including the
title story about his hilarious attempt to learn French. A number one
national bestseller now in paperback."
100,100,"Max is sent to bed without supper and imagines sailing away to the land of
Wild Things,where he is made king."
101,101,Translated with an Introduction by Robin Buss
102,102,"In a novel set in an indefinite, futuristic, post-apocalyptic world, a
father and his young son make their way through the ruins of a devastated
American landscape, struggling to survive and preserve the last remnants of
their own humanity."
103,103,"The explosive conclusion to Veronica Roth's #1 New York Times bestselling
Divergent trilogy reveals the secrets of the dystopian world that
captivated millions of readers and film fans in Divergent and Insurgent.
This paperback edition includes bonus content by Veronica Roth! One choice
will define you. What if your whole world was a lie? What if a single
revelation—like a single choice—changed everything? What if love and
loyalty made you do things you never expected? Told from a riveting dual
perspective, this third installment in the series follows Tris and Tobias
as they battle to comprehend the complexities of human nature—and their
selves—while facing impossible choices of courage, allegiance, sacrifice,
and love."
104,104,BossypantsTina Fey
105,105,"A high school rebel and a minister's daughter find strength in each other
in this star-crossed tale of ""young but everlasting love"" (Chicago Sun-
Times). There was a time when the world was sweeter....when the women in
Beaufort, North Carolina, wore dresses, and the men donned hats.... Every
April, when the wind smells of both the sea and lilacs, Landon Carter
remembers 1958, his last year at Beaufort High. Landon had dated a girl or
two, and even once sworn that he'd been in love. Certainly the last person
he thought he'd fall for was Jamie, the shy, almost ethereal daughter of
the town's Baptist minister....Jamie, who was destined to show him the
depths of the human heart-and the joy and pain of living. The inspiration
for this novel came from Nicholas Sparks's sister: her life and her
courage. From the internationally bestselling author Nicholas Sparks, comes
his most moving story yet...."
106,106,"Financial journalist Rebecca Bloomwood seeks solace from the boredom and
pressures in life with her shopping, a solution that brings her close to
financial disaster, until she encounters a story that will change her life."
107,107,"Les MisérablesVictor Hugo, Lee Fahnestock, Norman MacAfee"
108,108,"Six separate factions vie for control of the realm of the late Lord Eddard
Stark, while an ancient form of magic, an everlasting winter, and an
unearthly army threaten to return."
109,109,"In a tale spanning twenty-five years, a doctor delivers his newborn twin
daughter during a snowstorm and, rashly deciding to protect his wife from
the baby's affliction with Down Syndrome, turns her over to a nurse, who
secretly raises the child. A first novel. Reader's Guide included. Reprint.
100,000 first printing."
110,110,"Taking a job as an assistant to extreme sports enthusiast Will, who is
wheelchair bound after a motorcycle accident, Louisa struggles with her
employer's acerbic moods and learns of his shocking plans before
demonstrating to him that life is still worth living."
111,111,Catch-22Joseph Heller
112,112,"When an eighty-two-year-old rabbi from Albom's old hometown asks him to
deliver his eulogy, Albom goes back to his nonfiction roots and becomes
involved with a Detroit pastor--a reformed drug dealer and convict--who
preaches to the poor and homeless in a decaying church with a hole in its
roof. A timely, moving, and inspiring look at faith: not just who believes,
but why."
113,113,MiddlesexJeffrey Eugenides
114,114,"The classic adventure story of boyhood escapades on the shores of the
Mississippi chronicles the exploits of the mischievous Tom Sawyer and his
friends. Reissue."
115,115,"A midnight visitor escorts Meg, Calvin, and Charles across the barriers of
space and time to another world."
116,116,"Encompassing two generations and a rich blend of Chinese and American
history, the story of four struggling, strong women also reveals their
daughter's memories and feelings."
117,117,The Handmaid's TaleMargaret Atwood
118,118,"During their first summer apart, four teenage girls, best friends since
earliest childhood, stay in touch through a shared pair of secondhand jeans
that magically adapts to each of their figures and affects their attitudes
to their different summer experiences."
119,119,"In this Readers' Guide, Christine Clegg examines the critical history of
""Lolita"" through a broad range of interpretations. Although early criticism
of the text polarized around 'that' question - is it literature or
pornography? - the influence of American critics such as Lionel Trilling
quickly secured canonical status for the novel. A compelling aspect of
""Lolita"" criticism is the way in which that question continues to return in
different forms. In the 1980s and 1990s, ""Lolita"" has been the subject of
diverse critical attention, beyond 'Nabokov Studies': from Richard Rorty's
philosophical inquiry into the ethics of cruelty, to Rachel Bowlby's
feminist analysis of the rhetoric of consumer culture in the novel. All of
the main critical approaches to the novel are covered by this indispensable
sourcebook."
